year,PIREf,PIREf_Nfrac,THPLf,THPLf_Nfrac,QUPRf,QUPRf_Nfrac,ACSAf,ACSAf_Nfrac,DRGLf,DRGLf_Nfrac,TRAEf,TRAEf_Nfrac,mean,sd,mean_N,sd_N
0,100,1,100,1,100,1,100,1,100,1,100,1,100,0,100,0
1.02,78.80725,0.859217339,68.3125,0.937927303,65.13825,0.860348321,59.39375,1.06403879,37.16875,0.620672003,61.6285,1.589355355,61.7415,13.82244925,98.85931852,32.79405759
2.05,65.86425,1.118641827,60.7905,1.12572108,45.194,0.818651238,41.1515,1.059893192,30.063,0.250869016,44.87566667,1.569993318,47.98981945,13.1833282,99.06282785,43.63298935
3.03,44.94566667,0.78849813,42.52966667,0.877182603,18.878,0.527241045,26.72275,0.787990762,17.76425,0.320619709,36.02433333,1.449139844,31.14411111,11.77248469,79.17786822,38.24692345
3.99,26.152,0.684404307,29.85,0.855596319,15.4905,0.355802759,32.51425,0.836127129,20.51766667,0.36932957,19.05733333,1.043710603,23.93029167,6.637546098,69.08284478,27.87224368
5,28.90625,0.683576179,22.86575,0.583444938,15.4325,0.352771571,25.095,0.621118718,12.58,0.218998334,18.86825,0.960589165,20.624625,6.137608868,57.00831508,26.02474409
6,13.04225,0.382781829,23.47525,0.622046914,19.19333333,0.396142444,23.1385,0.59344828,12.23133333,0.189833353,8.78425,0.593952492,16.64415278,6.157329086,46.30342187,17.02857173
