year,TRAEf,TRAEf_Nfrac,PIREf,PIREf_Nfrac,THPLf,THPLf_Nfrac,QUPRf,QUPRf_Nfrac,DRGLf,DRGLf_Nfrac,ACSAf,ACSAf_Nfrac,mean,sd,mean_N,sd_N
0,100,1,100,1,100,1,100,1,100,1,100,1,100,0,100,0
1.01,82.25333333,0.864953518,85.759,0.831708967,89.993,0.878636542,87.73033333,0.796788866,72.82733333,1.008235758,75.91566667,1.157313093,82.41311111,6.79782302,92.29394573,13.54758661
2.01,65.2245,0.5972206,79.26275,0.810515973,76.2665,0.804663035,69.29466667,0.775050745,65.55266667,0.959389982,53.73325,1.111318714,68.22238889,9.097219102,84.30265082,17.49806307
3.04,57.224,0.236145534,71.64966667,0.837764926,71.50766667,0.577943601,57.114,1.11674639,74.49433333,0.973461421,56.54533333,0.942622126,64.75583333,8.608008063,78.07806663,32.16236954
4.02,50.88975,0.49871512,52.36375,0.735072124,66.168,0.620444975,64.6125,0.729731068,58.76,0.90212591,35.73675,0.552933701,54.755125,11.18766256,67.3170483,14.63714707
