year,TRAEf,TRAEf_Nfrac,PIREf,PIREf_Nfrac,THPLf,THPLf_Nfrac,QUPRf,QUPRf_Nfrac,DRGLf,DRGLf_Nfrac,ACSAf,ACSAf_Nfrac,mean,sd,mean_N,sd_N
0,100,1,100,1,100,1,100,1,100,1,100,1,100,0,100,0
1.013333333,86.185,0.891882563,87.25166667,0.808973524,81.581,0.752629784,86.693,0.797532226,74.29066667,0.871462364,62.152,0.873351259,79.69222222,9.886515388,83.263862,5.453174555
2,84.45,0.92064735,75.636,0.959340029,70.30133333,0.805851616,78.602,0.848626468,54.86175,0.905057939,58.1545,0.886558293,70.33426389,11.6915721,88.76802825,5.430712606
2.995,63.5635,0.777939889,58.35225,0.74161413,64.6125,0.665592809,72.25275,0.660296601,48.89325,0.678667235,47.701,0.690973336,59.22920833,9.569526936,70.2514,4.704300829
4.02,73.449,0.763470856,32.6305,0.548128738,57.161,0.881052501,38.7545,0.350333073,45.01533333,0.5237064,35.49233333,0.367926375,47.08377778,15.57940631,57.24363238,21.25360086
5.095,51.231,0.030325853,30.7375,0.594683583,57.088,0.6466865,25.327,0.45133299,23.061,0.356178994,10.906,0.194675369,33.05841667,17.68334257,37.89805482,23.64223163
6.025,7.7305,0.624319164,8.3265,0.159373236,27.723,0.474724931,NA,NA,21.4585,0.526525167,3.84,0.161543867,13.8157,10.2286479,38.9297273,21.56973259
7.02,5.133,0.240183608,NA,NA,NA,NA,NA,NA,5.933,0.14711539,NA,NA,5.533,0.565685425,19.3649499,6.580916806
