"Biome","r","RMSE","bias","n"
"Triticum aestivum","0.771774093447333","20.762650381057","10.763405399687","107"
"Pinus elliottii","0.817235188824195","16.4516868273476","-6.63209183152718","111"
"Thuja plicata","0.813188570904223","16.1057624943146","-1.80968937374732","109"
"Acer saccharinum","0.833639459600356","12.5599363967973","0.176562785084698","103"
"Quercus prinus","0.782448291847533","15.5142162113963","-3.24800981872445","106"
"Drypetes glauca","0.816762441931351","12.971868500804","0.300603764118274","102"
"All","0.792572233965527","16.0019935825779","-0.120964650865938","638"
